ID,Word,Definition,Part of Speech,Example Sentence,Synonym 1,Synonym 2,CEFR Level,Difficulty Score,Category,Frequency Level,Word Family,Usage Note,Related Words
92,Banking,The business and system of managing money through banks.,Noun,Online banking saves time.,finance,financial services,B1,41,General,Common,,,financing;funding;investing
93,Behavior,The way a person or animal acts.,Noun,His behavior was respectful.,conduct,manner,A2,26,General,Very Common,,,activity;offense;easiness
94,Belonging,A feeling of being accepted as part of a group.,Noun,Joining the club gave her a sense of belonging.,acceptance,inclusion,B1,44,Emotion,Common,,,happiness;comfortableness;closeness
95,Biological,Relating to living organisms and their processes.,Adjective,The scientist studies biological changes in plants.,organic,physiological,B1,41,Academic,Common,,,biology;natural;begotten
96,Boundary,A limit that separates one thing from another.,Noun,Healthy relationships need clear boundaries.,border,limit,B1,44,Travel & Places,Common,,,surface;outline;demarcation
97,Breakfast,The first meal of the day.,Noun,I usually eat breakfast at seven.,morning meal,,A1,13,General,Very Common,,,teatime;banquet;meal
98,Brilliant,"Extremely clever, impressive, or excellent.",Adjective,She had a brilliant idea.,excellent,outstanding,B1,39,General,Common,,,brilliance;superior;intelligent
99,Broadcasting,"The activity of sending programs by radio, television, or online media.",Noun,Broadcasting reaches a large audience.,transmission,airing,B2,61,Communication,Common,,,reception;television;wireless
100,Calculation,The process of working out a number or result.,Noun,The calculation took only a minute.,computation,estimation,B1,46,General,Common,,,calculate;procedure;process
101,Capability,The ability or power to do something.,Noun,The device has impressive storage capability.,ability,capacity,B2,61,Personal Development,Common,,,capable;strength;posture
102,Capital,Money or resources used to start or operate a business.,Noun,The company needs more capital.,funds,assets,B2,55,Business,Common,,,capitalist;capitalize;principal
103,Careful,Giving attention to avoid mistakes or danger.,Adjective,Be careful with the glass.,cautious,attentive,A2,27,General,Very Common,,,carefulness;protective;thorough
104,Celebration,An event held to mark something special.,Noun,The family held a celebration.,festivity,party,A2,31,Society & Culture,Very Common,,,celebrate;occasion;function
105,Cellular,Relating to cells or cellular communication.,Adjective,The phone uses cellular technology.,cell-based,mobile,B2,63,Academic,Common,,,cell;cellularity;alveolate
106,Ceremony,A formal event held for a special occasion.,Noun,The graduation ceremony began at noon.,rite,ritual,B1,40,Society & Culture,Common,,,ceremonial;occasion;function
107,Character,The qualities that make a person distinctive.,Noun,Her character was revealed by her choices.,personality,nature,B1,35,Society & Culture,Common,,,characteristic;property;attribute
108,Chemical,"Relating to substances and their reactions, as studied in chemistry.",Adjective,The factory follows strict chemical safety rules.,molecular,,B1,39,Science & Technology,Common,,,chemistry
109,Citizenship,The status of being an official member of a country.,Noun,She applied for citizenship after living there for years.,nationality,membership,B2,60,Personal Development,Common,,,behavior;behaviour;conduct
110,Clarification,A statement that makes something easier to understand.,Noun,He asked for clarification on the instructions.,explanation,elucidation,B2,65,Communication,Common,,,clarify;interpretation;improvement
111,Classical,"Related to traditional or established forms, especially art or music.",Adjective,He enjoys classical music.,traditional,conventional,B1,42,Communication,Common,,,hellenic;standard;neoclassic
112,Climate,The general weather conditions typical of a region over time.,Noun,"The region has a warm, dry climate.",conditions,weather,A2,25,Personal Development,Very Common,,,climatical;acclimatise;condition
113,Clinical,"Related to medical treatment, testing, or observation.",Adjective,The trial produced useful clinical evidence.,medical,therapeutic,B2,56,Academic,Common,,,objective;nonsubjective;clinic
114,Collaboration,The act of working together toward a shared goal.,Noun,The project required close collaboration.,cooperation,teamwork,B2,58,General,Common,,,collaborate;representation;compromise
115,Collective,Shared by or involving a group.,Adjective,They made a collective decision.,joint,communal,B2,58,Society & Culture,Common,,,aggregated;agglomerated;clustered
116,Comfortable,Providing physical or emotional ease.,Adjective,These shoes are comfortable.,cozy,relaxing,A2,26,General,Very Common,,,comfortableness;soothing;easy
117,Commercial,Related to business or making money.,Adjective,The project has commercial potential.,business,trade,B1,36,Communication,Common,,,technical;mercantile;commerce
118,Commitment,A promise or firm decision to do something.,Noun,Learning requires commitment.,pledge,promise,B2,56,Personal Development,Common,,,earnestness;sincerity;cooperation
119,Committee,A group chosen to discuss or manage a particular matter.,Noun,The committee met on Monday.,board,panel,B1,36,Society & Culture,Common,,,authority;division;intelligence
120,Communication,"The exchange of information, ideas, or feelings.",Noun,Clear communication prevents confusion.,correspondence,interaction,A2,26,Communication,Very Common,,,communicate;discussion;treatment
121,Community,"A group of people who share a place, interest, or identity.",Noun,The community organized a cleanup.,society,neighborhood,A2,20,Society & Culture,Very Common,,,gathering;assemblage;crossroads
122,Comparison,An examination of things to identify similarities and differences.,Noun,The comparison revealed a clear winner.,contrast,analogy,B1,39,General,Common,,,compare;examination;confrontation
123,Competence,The ability to do something successfully and effectively.,Noun,Her competence impressed the employer.,proficiency,skill,B2,64,Personal Development,Common,,,ability;fitness;capability
124,Competitive,Eager to win or strong compared with others.,Adjective,The market is highly competitive.,ambitious,fierce,B1,39,General,Common,,,competitiveness;agonistic;matched
125,Complaint,A statement that something is wrong or unsatisfactory.,Noun,The customer made a complaint.,grievance,protest,A2,31,Personal Development,Very Common,,,disorder;exclamation;upset
126,Complete,Containing everything necessary; finished.,Adjective,The report is complete.,whole,entire,A2,21,Science & Technology,Very Common,,,accomplished;realized;realised
127,Complexity,The state of having many connected parts or difficulties.,Noun,The complexity of the problem surprised us.,intricacy,complication,B2,61,Personal Development,Common,,,complex;complexify;quality
128,Concentration,The ability to give full attention to something.,Noun,Noise made concentration difficult.,focus,attentiveness,B2,59,Personal Development,Common,,,concentrate;property;distance
129,Conclusion,A judgment reached after considering evidence.,Noun,The evidence supports that conclusion.,verdict,deduction,B1,40,Academic,Common,,,judgment;assumption;supposition
130,Conflict,A serious disagreement or struggle.,Noun,They resolved the conflict peacefully.,dispute,clash,B1,38,General,Common,,,fighting;warfare;pacification
131,Connection,A relationship or link between people or things.,Noun,There is a strong connection between sleep and health.,link,relationship,A2,25,Academic,Very Common,,,relation;involvement;alliance
132,Consciousness,The state of being aware and able to think or perceive.,Noun,The patient gradually regained consciousness.,awareness,sentience,C1,73,Academic,Less Common,,,conscious;knowing;curiosity
133,Conservation,The protection and careful use of natural resources.,Noun,Forest conservation is essential.,preservation,protection,B2,58,Society & Culture,Common,,,conserve;improvement;advance
134,Consistent,Remaining the same in quality or performance.,Adjective,Her results are consistently strong.,steady,uniform,B2,56,General,Common,,,consistency;unchanging;accordant
135,Construction,The process of building something.,Noun,Construction began in January.,building,assembly,B1,36,General,Common,,,construct;erecting;leveling
136,Consumer,A person who buys or uses goods or services.,Noun,The consumer expects good service.,buyer,customer,B1,39,Society & Culture,Common,,,prodigal;utiliser;consume
137,Contemporary,Existing or happening in the present time.,Adjective,The gallery features contemporary art.,modern,current,B2,56,Society & Culture,Common,,,
138,Contribution,Something given to help achieve a result.,Noun,Her contribution improved the project.,donation,input,B2,58,General,Common,,,contribute;attempt;endeavour
139,Convenient,Easy or suitable for a particular situation.,Adjective,Online payment is convenient.,handy,suitable,B1,43,General,Common,,,favourable;accessible;spacious
140,Conversation,An informal exchange of ideas or information by speaking.,Noun,We had a long conversation.,chat,discussion,A2,25,Communication,Very Common,,,language;exchange;talking
141,Convincing,Able to make someone believe something is true or reasonable.,Adjective,She gave a convincing explanation.,persuasive,compelling,B2,62,Communication,Common,,,credible;disenchanting;disillusioning
142,Cooperation,The act of working together toward a common goal.,Noun,The task required cooperation.,collaboration,teamwork,B1,42,General,Common,,,cooperate;representation;compromise
143,Coordinate,To organize people or activities so they work together.,Verb,She will coordinate the event.,organize,arrange,B2,63,Academic,Common,,,structure;mismanage;mishandle
144,Corporate,Related to a company or business organization.,Adjective,He works in corporate finance.,business,commercial,B2,55,Academic,Common,,,material;corporation
145,Courageous,Showing bravery when facing difficulty or danger.,Adjective,The rescue was courageous.,brave,bold,B2,64,General,Common,,,valiant;spirited;desperate
146,Courtesy,Polite behavior showing respect for others.,Noun,He treated everyone with courtesy.,politeness,civility,B2,60,General,Common,,,attention;gallantry;comment
147,Creative,Involving original ideas or imagination.,Adjective,She found a creative solution to the problem.,imaginative,inventive,A2,27,General,Very Common,,,creativity;fictive;fanciful
148,Criminal,Relating to crime or breaking the law.,Adjective,He was charged with criminal activity.,illegal,unlawful,B1,37,Society & Culture,Common,,,wrong;criminalness;criminality
149,Cultural,Relating to the customs and ideas of a particular society.,Adjective,The festival celebrates the region's cultural heritage.,ethnic,societal,B1,37,Academic,Common,,,culture;social
150,Curious,Eager to learn or know more about something.,Adjective,The curious child asked many questions.,inquisitive,interested,A2,29,General,Very Common,,,curiousness;curiosity;strange
151,Currency,The system of money used in a particular country.,Noun,The local currency lost value last year.,money,coinage,B1,41,Business,Common,,,prevalence;eurocurrency;mintage
152,Customer,A person or organization that buys something.,Noun,The customer requested a refund.,client,buyer,A1,14,Society & Culture,Very Common,,,consumer;frequenter;prodigal
153,Database,An organized collection of information stored electronically.,Noun,The records are kept in a database.,archive,repository,B1,41,Communication,Common,,,information;listing;info
154,Deadline,The latest time by which something must be completed.,Noun,The application deadline is Friday.,cutoff,time limit,B1,44,General,Common,,,beginning;kickoff;showtime
155,Decision,A choice made after considering possibilities.,Noun,It was a difficult decision.,choice,judgment,A2,21,General,Very Common,,,selection;resolution;appointment
156,Decline,To become less or to politely refuse something.,Verb,Sales began to decline.,decrease,refuse,B2,57,Science & Technology,Common,,,devolve;regress;retrograde
157,Decoration,Something used to make a place more attractive.,Noun,The room needs simple decoration.,ornament,adornment,B1,46,General,Common,,,decorate;mention;citation
158,Dedication,"Strong commitment to a task, person, or purpose.",Noun,Her dedication earned everyone's respect.,commitment,devotion,B2,62,Personal Development,Common,,,dedicate;ceremony;ceremonial
159,Democracy,A system in which people participate in choosing their government.,Noun,Democracy depends on informed citizens.,self-government,republic,B1,39,Academic,Common,,,democratic;commonwealth;democratize
160,Demonstrate,To show clearly how something works or is true.,Verb,The teacher will demonstrate the process.,show,prove,B1,43,General,Common,,,demonstration;confirm;corroborate
161,Dependable,Reliable and able to be trusted.,Adjective,She is a dependable colleague.,reliable,trustworthy,B2,66,General,Common,,,dependability;certain;dependableness
162,Departure,The act of leaving a place.,Noun,Our departure is scheduled for six.,leaving,exit,B1,42,General,Common,,,boarding;dispatch;farewell
163,Description,Words that explain what someone or something is like.,Noun,The listing included a detailed description.,account,portrayal,A2,25,Communication,Very Common,,,statement;delineation;depiction
164,Desirable,Wanted or considered attractive.,Adjective,The location is highly desirable.,attractive,appealing,B2,63,General,Common,,,preferable;preferred;loveable
165,Destination,The place to which someone or something is going.,Noun,Paris was their final destination.,endpoint,terminus,B1,42,Travel & Places,Common,,,destine;terminal;termination
166,Development,"The process of growing, improving, or changing.",Noun,The development took several years.,growth,progress,B1,35,General,Common,,,develop;improvement;broadening
167,Dialogue,"A conversation between people, especially in a story.",Noun,The film has realistic dialogue.,conversation,discussion,B1,42,Communication,Common,,,talking;chatter;malarky
168,Difference,A way in which two or more things are not the same.,Noun,There is a clear difference between them.,distinction,contrast,A1,9,Personal Development,Very Common,,,different;differentiate;quality
169,Digital,Using electronic technology to store or process information.,Adjective,The company moved to digital records.,electronic,computerized,A2,24,Academic,Very Common,,,digit
170,Discipline,The ability to control behavior and follow rules or routines.,Noun,Progress requires discipline.,self-control,order,B2,59,Academic,Common,,,engineering;technology;architecture
171,Discovery,Something found or learned for the first time.,Noun,The discovery changed the field.,finding,revelation,B1,40,General,Common,,,discover;detection;catching
172,Discussion,A conversation in which people examine a topic or issue.,Noun,We had a useful discussion.,conversation,debate,A2,25,Communication,Very Common,,,discuss;communication;expansion
173,Diversity,The presence of many different types of people or things.,Noun,The workplace values diversity.,variety,range,B2,58,Personal Development,Common,,,diverse;condition;diversify
174,Domestic,Relating to the home or one's own country.,Adjective,Domestic flights leave from this terminal.,household,national,B1,37,Society & Culture,Common,,,interior;internal;municipal
175,Dramatic,"Very noticeable, sudden, or exciting.",Adjective,There was a dramatic improvement.,striking,sudden,B2,57,General,Common,,,spectacular;melodramatic;impressive
176,Economic,"Related to money, trade, production, or the economy.",Adjective,The country faces economic pressure.,financial,fiscal,B1,35,Academic,Common,,,economy;economics
177,Economy,The system through which a society produces and uses goods and services.,Noun,The economy is recovering.,marketplace,financial system,B1,36,Society & Culture,Common,,,economic;economical;efficiency
178,Efficiency,The ability to achieve results with little wasted effort or resources.,Noun,Automation improved efficiency.,effectiveness,productivity,B2,57,Academic,Common,,,efficient;fluency;adeptness
179,Electronic,Relating to devices that use electrical circuits.,Adjective,She signed the electronic document.,digital,computerized,A2,27,Academic,Very Common,,,electronics;electron
180,Employment,The state of having paid work.,Noun,Youth employment is increasing.,work,job,B1,39,Personal Development,Common,,,occupation;business;coaching
181,Encourage,To give someone support or confidence to do something.,Verb,Parents should encourage curiosity.,support,motivate,A2,29,Society & Culture,Very Common,,,encouragement;contribute;barrack
182,Endurance,The ability to continue despite difficulty or tiredness.,Noun,Running requires endurance.,stamina,persistence,B2,63,Personal Development,Common,,,strength;animation;aliveness
183,Enterprise,A business or project involving initiative and effort.,Noun,She started a small enterprise.,business,venture,B2,57,General,Common,,,project;organization;organisation
184,Entertainment,Activities that provide enjoyment or amusement.,Noun,The festival offered live entertainment.,amusement,fun,B1,38,General,Common,,,entertain;diversion;recreation
185,Enthusiasm,Strong excitement or interest in something.,Noun,He spoke with enthusiasm.,excitement,eagerness,B2,61,Emotion,Common,,,enthusiastic;feeling;keenness
186,Environmental,Related to the natural world and its protection.,Adjective,They support environmental policies.,ecological,green,B1,37,Academic,Common,,,environment;ecology
187,Equality,The state of having the same rights or opportunities.,Noun,The policy promotes equality.,fairness,parity,B1,42,Personal Development,Common,,,sameness;balance;position
